== PARAMETER ==
movement:Lacet
angle:70.0
speed:25
nb_return:5
wait_time:30
== COMMENTS ==
SALUT dOUBLE GUI
JU-JU-JUL
== VALUES ==
yaw pitch roll
0.2899854 -0.01983643 0.8448911
0.2846031 -0.02102661 0.8576316
0.284617 -0.03955078 0.8796133
0.2833677 -0.02316284 0.8900195
0.2945133 0.01385009 0.835748
0.3168139 0.02923464 0.803227
0.3400268 0.03532482 0.817709
0.3720354 0.03816438 0.8373679
0.3665764 0.03364416 0.8327439
0.2300832 0.01476285 0.8113933
-0.03283691 0.009745714 0.8168772
-0.5828247 -0.00668335 0.8855595
-1.603485 -0.04598999 0.9570214
-2.274628 -0.06692505 0.8871784
-5.03717 -0.1434021 0.8211608
-6.162354 -0.1941528 0.8812159
-7.069824 -0.2177734 0.9591275
-7.804596 -0.2507935 1.023438
-8.41098 -0.2937012 1.098896
-8.576813 -0.2750854 1.168479
-9.588867 -0.228241 1.342392
-10.00366 -0.2188416 1.350461
-10.44705 -0.208252 1.368136
-10.83789 -0.1653137 1.409902
-11.00388 -0.1683655 1.438398
-11.35483 -0.1673889 1.52542
-11.70474 -0.1828003 1.599289
-12.0816 -0.14151 1.673413
-12.39728 -0.1382446 1.761587
-12.71652 -0.1098022 1.899501
-13.05502 -0.09094238 2.057883
-13.3815 -0.0652771 2.175075
-13.63507 -0.03817749 2.192072
-13.8457 -0.0479126 2.235652
-14.05984 -0.05047607 2.319859
-14.20044 -0.06680298 2.360894
-14.34708 -0.1009827 2.368964
-14.49722 -0.1394958 2.39751
-14.65833 -0.1871033 2.420219
-14.81561 -0.2192993 2.457197
-15.02066 -0.2699585 2.51584
-15.19675 -0.3296204 2.530776
-15.37067 -0.3907776 2.58312
-15.61459 -0.4364929 2.659723
-15.91864 -0.4470215 2.744366
-16.21625 -0.4472351 2.777576
-16.56 -0.4555664 2.80339
-16.95944 -0.4263 2.847074
-17.39267 -0.3824463 2.878635
-17.82071 -0.3622131 2.895841
-18.24399 -0.3488159 2.917146
-18.64621 -0.2888489 2.9365
-19.02307 -0.2362671 2.959
-19.37347 -0.1979065 2.977372
